iter	Logloss
0	0.6850090178
5	0.6467818117
10	0.6138448345
15	0.5860084008
20	0.5600413342
25	0.5398151276
30	0.5208060006
35	0.5060008812
40	0.4925820785
45	0.4805613578
50	0.4705722539
55	0.4621685541
60	0.4545232875
65	0.4481573698
70	0.442172467
75	0.437139382
80	0.4325398709
85	0.4283275657
90	0.4246716264
95	0.4213476366
100	0.4183787931
105	0.4157692318
110	0.4132689502
115	0.4106599284
120	0.4084187174
125	0.4060201889
130	0.4042048195
135	0.402448637
140	0.4008765654
145	0.399416291
150	0.3981908371
155	0.3971490317
160	0.3960897066
165	0.3952653047
170	0.3944925114
175	0.393677152
180	0.3929270161
185	0.3922528161
190	0.3916961676
195	0.3912113447
200	0.3907037359
205	0.3902443705
210	0.3898356118
215	0.3894529272
220	0.389116919
225	0.3888167978
230	0.3885362001
235	0.3882760249
240	0.3880268959
245	0.3877869634
250	0.3875615193
255	0.387378102
260	0.3871815063
265	0.3870317925
270	0.3868787906
275	0.3867325962
280	0.3865534432
285	0.3863956118
290	0.3862377547
295	0.3861167352
300	0.3859879834
305	0.3858634703
310	0.3857525208
315	0.3856477879
320	0.3855425927
325	0.3854111436
330	0.385309365
335	0.3852189664
340	0.3851023397
345	0.3850225249
350	0.3849378549
355	0.3848546492
360	0.3847679241
365	0.3846819697
370	0.3846040816
375	0.3845243695
380	0.384439828
385	0.3843621197
390	0.3842848738
395	0.3841977377
400	0.3841271451
405	0.384071452
410	0.3840054577
415	0.3839371258
420	0.3838787097
425	0.3838271524
430	0.383770329
435	0.3837189002
440	0.3836667008
445	0.3835993964
450	0.3835364077
455	0.3834880358
460	0.3834277958
465	0.3833728734
470	0.3833185418
475	0.3832685772
480	0.3832344883
485	0.3831749933
490	0.383126827
495	0.3830870866
500	0.3830439809
505	0.3829904713
510	0.3829382976
515	0.3829014086
520	0.3828560424
525	0.3828213112
530	0.3827851672
535	0.3827388505
540	0.382704479
545	0.382664456
550	0.3826270789
555	0.3825814558
560	0.3825388896
565	0.3825130982
570	0.3824605391
575	0.3824256538
580	0.3823880969
585	0.3823492556
590	0.3823087959
595	0.3822803585
600	0.3822338619
605	0.3821991565
610	0.3821650933
615	0.3821270997
620	0.3820932934
625	0.3820636743
630	0.3820327451
635	0.3819967552
640	0.3819616644
645	0.3819329702
650	0.3819065622
655	0.3818741944
660	0.3818326815
665	0.3817965375
670	0.3817562576
675	0.3817285908
680	0.3816980983
685	0.3816772134
690	0.3816570735
695	0.3816234727
700	0.381600995
705	0.3815704769
710	0.3815486928
715	0.3815204353
720	0.3814931539
725	0.3814596044
730	0.3814343781
735	0.3814091775
740	0.3813787877
745	0.3813586992
750	0.3813339866
755	0.3813099677
760	0.3812798605
765	0.3812564325
770	0.381229896
775	0.3812041559
780	0.381176669
785	0.3811493106
790	0.3811153501
795	0.3810884283
800	0.3810622772
805	0.381038361
810	0.3810142907
815	0.3809909397
820	0.3809699263
825	0.3809470891
830	0.3809104313
835	0.3808836894
840	0.3808648338
845	0.3808357542
850	0.380816796
855	0.3807858411
860	0.3807677049
865	0.3807420162
870	0.3807196413
875	0.3806905617
880	0.380666851
885	0.3806487918
890	0.3806238224
895	0.3805940749
900	0.3805712377
905	0.3805533069
910	0.3805243558
915	0.3805085315
920	0.3804857456
925	0.380467558
930	0.3804509631
935	0.3804337517
940	0.3804115824
945	0.380389747
950	0.3803748475
955	0.3803526011
960	0.3803374704
965	0.3803184608
970	0.380303176
975	0.3802808269
980	0.3802588116
985	0.3802425764
990	0.3802172216
995	0.3802020139
999	0.3801899402
