iter	Passed	Remaining
0	4409	4404634
1	8602	4292501
2	12789	4250275
3	16976	4227064
4	21095	4198085
5	25034	4147328
6	28958	4107936
7	32720	4057382
8	36841	4056711
9	40770	4036295
10	44545	4005086
11	48469	3990622
12	52391	3977727
13	56030	3946120
14	60918	4000293
15	65657	4037952
16	70980	4104348
17	76062	4149605
18	80060	4133668
19	84840	4157186
20	89630	4178506
21	94237	4189295
22	98853	4199103
23	103469	4207759
24	108905	4247312
25	113527	4252899
26	117774	4244236
27	122587	4255545
28	127376	4264924
29	132006	4268208
30	136786	4275670
31	141829	4290332
32	146642	4297057
33	150639	4279920
34	154450	4258416
35	158274	4238230
36	163057	4243914
37	167885	4250160
38	172901	4260466
39	177170	4252097
40	182006	4257164
41	186296	4249340
42	190337	4236116
43	194627	4228734
44	198918	4221485
45	203221	4214644
46	207752	4212518
47	212042	4205506
48	216062	4193379
49	220101	4181936
50	224499	4177458
51	229274	4179856
52	233115	4165292
53	237926	4168126
54	242343	4163898
55	246373	4153149
56	252036	4169660
57	256033	4158335
58	260052	4147615
59	265246	4155529
60	269692	4151500
61	274532	4153416
62	278966	4149075
63	283238	4142358
64	287827	4140285
65	292368	4137454
66	297920	4148650
67	302502	4146062
68	306542	4136103
69	310562	4126044
70	314841	4119543
71	318685	4107497
72	323087	4102765
73	327875	4102876
74	333564	4113967
75	338684	4117686
76	342954	4110995
77	348239	4116367
78	353248	4118252
79	358454	4122224
80	362737	4115507
81	366757	4105898
82	370778	4096437
83	374584	4084751
84	378855	4078264
85	384905	4090735
86	389175	4084109
87	393930	4082548
88	398706	4081136
89	402976	4074544
90	407008	4065613
91	411627	4062585
92	416035	4057463
93	420056	4048628
94	425099	4049635
95	429133	4041005
96	433945	4039723
97	438996	4040556
98	443612	4037321
99	448367	4035304
100	452989	4032053
101	458536	4036915
102	463792	4039051
103	468836	4039203
104	472847	4030457
105	478465	4035364
106	482715	4028647
107	487793	4028816
108	493845	4036850
109	499966	4045180
110	504725	4042354
111	510841	4050243
112	515744	4048362
113	519993	4041354
114	525552	4044468
115	529374	4034201
116	533969	4029869
117	539142	4029860
118	543389	4022909
119	547078	4011905
120	551711	4007889
121	556265	4003288
122	561425	4003009
123	566986	4005486
124	573121	4011852
125	579268	4018101
126	584466	4017632
127	590587	4023377
128	594675	4015211
129	599890	4014648
130	604548	4010324
131	610101	4011880
132	615678	4013484
133	619581	4004162
134	624232	3999710
135	628686	3994009
136	633566	3991003
137	638843	3990455
138	644479	3992062
139	650353	3995026
140	655012	3990466
141	661423	3996485
142	667040	3997575
143	672122	3995394
144	677057	3992307
145	682281	3990877
146	688159	3993195
147	692688	3987641
148	698341	3988511
149	703483	3986404
150	709337	3988261
151	715659	3992624
152	722300	3998617
153	728829	4003829
154	736005	4012415
155	740624	4006967
156	745551	4003182
157	751694	4005867
158	757737	4007908
159	763296	4007304
160	767972	4002040
161	774516	4006447
162	780940	4010105
163	785868	4006014
164	791064	4003267
165	797576	4007103
166	803471	4007734
167	810383	4013326
168	816765	4016165
169	823314	4019714
170	829446	4021116
171	835192	4020578
172	841997	4025039
173	847685	4024071
174	852339	4018172
175	858256	4018198
176	864400	4019216
177	870879	4021700
178	876498	4020139
179	884171	4027893
180	889898	4026669
181	896196	4027961
182	901374	4024167
183	909045	4031419
184	915644	4033784
185	921682	4033598
186	929124	4039456
187	934304	4035401
188	941198	4038687
189	947730	4040325
190	952920	4036191
191	958197	4032413
192	964770	4034038
193	972138	4038886
194	977881	4036895
195	984015	4036470
196	989277	4032437
197	996947	4038140
198	1002133	4033714
199	1007388	4029553
200	1013138	4027349
201	1019279	4026656
202	1024480	4022221
203	1031648	4025450
204	1039317	4030524
205	1046115	4032113
206	1053336	4035244
207	1061006	4039985
208	1067051	4038456
209	1073005	4036545
210	1079112	4035162
211	1084354	4030525
212	1091356	4032381
213	1098532	4034796
214	1103805	4030172
215	1108992	4025232
216	1116075	4027127
217	1121959	4024642
218	1127966	4022567
219	1133894	4020171
220	1140228	4019176
221	1147297	4020710
222	1153224	4018184
223	1159772	4017784
224	1165402	4014164
225	1171960	4013706
226	1178110	4011805
227	1183875	4008561
228	1190170	4007081
229	1197535	4009140
230	1204224	4008868
231	1209312	4003239
232	1215972	4002794
233	1221766	3999458
234	1227866	3997097
235	1233994	3994797
236	1238860	3988400
237	1245684	3988282
238	1250607	3982061
239	1257431	3981867
240	1264255	3981618
241	1270340	3979001
242	1276454	3976444
243	1282917	3974941
244	1290043	3975441
